# Phase 1a' — native-only verdicts on the 209-row lukb corpus
#
# Pipeline: .lukb -> adsmt-ir-lukb::elaborate -> kernel Env
#           -> adsmt-ir-lower::lower -> adsmt-engine::Solver
# NO delegation anywhere. Driver: adsmt-ir-lukb/examples/lukb_solve.rs
# Measured 2026-08-30 against corpus-2026-07-04-lukb-per-obligation.
#
#                    native unsat   native unknown
#   delegation verified      90              81
#   delegation NOT verified   0              38
#
# 90 of the 171 delegation-verified rows (53%) need no delegation at all.
# ZERO rows where native claims unsat and delegation does not — native is
# a strict subset, so this sweep surfaces no native false-UNSAT candidate.
#
# Every one of the 209 rows PARSES and ELABORATES (209/209 both), so the
# 119 unknowns are all engine abstains, not face or lowering gaps.
row	native	stage
nonlinear-2/ob03	unsat	verified natively
nonlinear-2/ob04	unsat	verified natively
nonlinear-2/ob05	unsat	verified natively
nonlinear-2/ob06	unsat	verified natively
nonlinear-2/ob07	unknown	engine abstained
nonlinear-2/ob08	unsat	verified natively
nonlinear-2/ob09	unsat	verified natively
nonlinear-3/ob01	unknown	engine abstained
nonlinear-3/ob02	unknown	engine abstained
nonlinear-3/ob03	unsat	verified natively
nonlinear-3/ob04	unknown	engine abstained
nonlinear-3/ob05	unsat	verified natively
nonlinear-3/ob06	unsat	verified natively
seq-vstd-1/ob01	unknown	engine abstained
seq-vstd-1/ob02	unknown	engine abstained
seq-vstd-1/ob03	unknown	engine abstained
seq-vstd-1/ob04	unknown	engine abstained
seq-vstd-1/ob05	unknown	engine abstained
seq-vstd-1/ob06	unknown	engine abstained
seq-vstd-1/ob07	unknown	engine abstained
seq-vstd-1/ob08	unknown	engine abstained
seq-vstd-1/ob09	unknown	engine abstained
seq-vstd-1/ob10	unsat	verified natively
seq-vstd-2/ob01	unknown	engine abstained
seq-vstd-2/ob02	unknown	engine abstained
seq-vstd-2/ob03	unknown	engine abstained
seq-vstd-2/ob04	unknown	engine abstained
seq-vstd-2/ob05	unknown	engine abstained
seq-vstd-2/ob06	unknown	engine abstained
seq-vstd-2/ob07	unknown	engine abstained
seq-vstd-2/ob08	unknown	engine abstained
seq-vstd-2/ob09	unknown	engine abstained
seq-vstd-2/ob10	unknown	engine abstained
seq-vstd-2/ob11	unsat	verified natively
seq-vstd-3/ob01	unknown	engine abstained
seq-vstd-3/ob02	unsat	verified natively
seq-vstd-3/ob03	unknown	engine abstained
seq-vstd-3/ob04	unknown	engine abstained
seq-vstd-3/ob05	unknown	engine abstained
seq-vstd-3/ob06	unknown	engine abstained
seq-vstd-3/ob07	unknown	engine abstained
seq-vstd-3/ob08	unknown	engine abstained
seq-vstd-3/ob09	unknown	engine abstained
seq-vstd-3/ob10	unsat	verified natively
seq-vstd-3/ob11	unsat	verified natively
verify-arith/ob01	unknown	engine abstained
